"DATETIME","code","name","CLOSE","stcode","stname","stCLOSE","CONVPRICE","tyr","HisVol","ImpVol","STRBVALUE","OPTVALUE","BS","BT","Delta","对冲比率","Theta","期权流逝","溢价流逝","溢价率","溢价率均值","溢价率标准差","X2017.10","X2017.09","X2017.08","X2017.07","X2017.06"
"2017-10-16","110030.SH","格力转债",110.539,"600185.SH","格力地产",6.23,7.24,2.19269406392694,0.28907913387601,0.33400174677372,98.4052,10.702962520982,109.108162520982,109.134885018052,0.476028843833031,6.57498403084297,-0.275026215155625,-2.94359527309818,-5.53374052478135,0.0131139361708423,0.0299339377010965,0.0536605485880475,0.00581904056209679,-0.0109937247982982,-0.00441627826778753,-0.0203103579865849,-0.0304867066287871
"2017-10-16","110031.SH","航信转债",104.6021,"600271.SH","航天信息",19.11,42.8,3.65844748858447,0.251770452409833,0.610712472783784,94.0798,0.781542769331634,94.8613427693316,94.8355064999165,0.093474759484951,0.218398970759231,-0.231833611459878,-0.181187882724507,-2.87616537693459,0.102684159282399,0.116425985745008,0.0262353508357936,0.0999381799072121,0.112703808406045,0.108175142364175,0.0939136889669797,0.0888379448932468
"2017-10-16","110032.SH","三一转债",119.9582,"600031.SH","三一重工",7.87,7.45,4.22283105022831,0.289390777921202,0.280666628812996,91.3344,29.6537184966515,120.988118496651,121.066857148779,0.690081149217998,9.26283421769125,-0.243804381465108,-7.22970649621653,-6.77834364186851,-0.00851255899710501,0.00836018723986746,0.0361682827913987,-0.00880155101067933,0.00552008736382914,0.00224732627977902,0.00316835118493364,-0.00968024115616056
"2017-10-16","110033.SH","国贸转债",127.3696,"600755.SH","厦门国贸",10.56,8.81,4.22557077625571,0.441144990996939,0.221715193818157,92.8517,51.6304430406851,144.482143040685,144.582307221377,0.765194246184386,8.68551925294422,-0.401024655448856,-20.7050806310625,-8.16881359412146,-0.118440539990235,-0.022899194588681,0.0511382187963191,-0.121147171077399,-0.116527869221262,-0.107712213184261,-0.0166129174015873,0.0208115018080824
"2017-10-16","110034.SH","九州转债",126.3186,"600998.SH","九州通",21.04,18.65,4.25296803652968,0.198887698243636,0.290258539824089,91.7193,27.9248260635166,119.644126063517,119.588700585304,0.743636146948536,3.98732518471065,-0.483265653713026,-13.4951093224079,-8.13533036289457,0.0557860561657666,0.00591132937642533,0.0518864101941817,0.0464784318611834,0.058074138652005,0.0757099022391269,0.0627685890555355,0.0501432570789887
"2017-10-16","113008.SH","电气转债",106.6159,"601727.SH","上海电气",7.9,10.65,3.30228310502283,0.331391510290138,0.346724839363944,95.3407,11.1748850056244,106.515585005624,106.548276300786,0.455157361725825,4.27377804437394,-0.321636920145091,-3.5942555961846,-3.41436504424779,0.000941787010513728,-0.0672056590923569,0.0774800967210836,-0.00543021977945855,-0.00152256443137988,0.000515634855567319,-0.012843194382213,-0.0102255195063247
"2017-10-16","113009.SH","广汽转债",133.8229,"601238.SH","广汽集团",28.6,21.43,4.27214611872146,0.218030989563644,0.175191826459819,91.0196,45.8213165911287,136.840916591129,136.869089790443,0.843263986952774,3.93496960780576,-0.57656202254834,-26.418830969609,-10.0191563702437,-0.0220549282064977,-0.0442085097158844,0.0290821080788698,-0.0230509173426169,-0.00938405096574191,-0.00567066547385266,-0.0154776238734604,-0.0219940816515178
"2017-10-16","113010.SH","江南转债",105.4782,"601199.SH","江南水务",6.45,9.3,4.42283105022831,0.168267350558609,0.357847554227281,92.2493,3.12486042658677,95.3741604265868,95.3867366502566,0.251535486285207,2.70468264822804,-0.102240787057579,-0.319488189459315,-2.99104800743341,0.105941059173891,0.0461660331133649,0.0453699634317906,0.105221249125095,0.116091525838721,0.10290041452498,0.079009880425111,0.073352075201303
"2017-10-16","113011.SH","光大转债",112.5327,"601818.SH","光大银行",4.13,4.26,5.42009132420091,0.133503351722953,0.282648139629685,85.6652,14.2090017763619,99.8742017763619,99.9164155562355,0.624481062208345,14.6591798640457,-0.0745292205949825,-1.05898582782498,-4.9570197978096,0.126744424470926,0.093260662320761,0.0350380916055064,0.127394432408248,0.133214948338498,0.132083693350467,0.0910856433939756,0.07786675999492
"2017-10-16","113012.SH","骆驼转债",111.5399,"601311.SH","骆驼股份",14.83,16.72,5.43926940639269,0.266112595418208,0.343477933707431,85.2713,20.3424507295267,105.613750729527,105.683711230009,0.598127088990656,3.5773151255422,-0.409304953560785,-8.32626585116147,-4.82943535930155,0.0561115312119727,0.0705434856623697,0.0405141006330136,0.0399211115851528,0.0756373179058154,0.125736381760509,0.0898431987574044,0.0625980782921511
"2017-10-16","113013.SH","国君转债",125.2141,"601211.SH","国泰君安",21.21,20.2,5.72420091324201,0.202587263551479,0.373546987913387,84.3456,26.1608992191112,110.506499219111,110.575567579721,0.698523111463763,3.45803520526615,-0.455880343427066,-11.9262397203693,-7.13959915443523,0.133092631517779,0.147431560294594,0.0222382580800173,0.131198615086504,0.134608717884694,0.167429233927983,0.128777733952289
"2017-10-16","120001.SZ","16以岭EB",107.5014,"002603.SZ","以岭药业",16.72,17.8,3.50776255707763,0.172266869143953,0.196357069695874,94.6959,11.6334169271158,106.329316927116,106.368731354093,0.551874310637048,3.10041747548903,-0.411514880608125,-4.78732417782659,-3.6506176776881,0.0110231411877464,-0.0011846112532351,0.0203862977388443,0.00997289827848798,0.0153171041732997,0.0262247667015427,0.00401894726760196,-0.00208478681758331
