"ver1.4","code","name","close","stcode","stname","stclose","convprice","tyr","HisVol","ImpVol","strbvalue","optvalue","BS","BT","Delta","对冲比例","Theta","期权流逝","溢价流逝","溢价率","溢价率均值","溢价率标准差","2017-11","2017-10","2017-09","2017-08","2017-07","2017-06","2017-05","2017-04","2017-03","2017-02","2017-01","2016-12","2016-11","2016-10"
"2017-11-03","110030.SH","格力转债",107.9797,"600185.SH","格力地产",5.87,7.24,2.13424657534247,0.258038206633874,0.339910379210257,98.1776,6.84432683840202,105.021926838402,6.79212434768568,0.388570679079322,5.36699832982489,-0.225473951047164,-1.54321741451265,-4.59276829268292,0.0281633869291802,0.0304543819090056,0.0540061586835313,0.0269249211063453,0.0198612178537232,-0.0109999491551093,-0.00441627825716017,-0.0203103579753701,-0.0304867066181033,-0.0317020294441659,-0.00118829255619951,0.0968683107413989,0.103218500952858,0.0880207860379794,0.0762027584456464,0.0822304762022629,0.0622993927128823
"2017-11-03","110031.SH","航信转债",104.0827,"600271.SH","航天信息",19.05,42.8,3.6,0.219953730241159,0.613840469660472,93.7285,0.370801514632949,94.0993015146329,0.35679723755725,0.0546254034432991,0.127629447297428,-0.135399333360131,-0.0502062778902281,-2.87616666666667,0.106094288955106,0.117819511016168,0.0261102607308936,0.108500184950184,0.099952505798544,0.112719456072401,0.108338930474654,0.0944172171736046,0.0892822362440951,0.085762347337165,0.105492961776879,0.126250402104889,0.143169977453843,0.136848047182084,0.156206186349395,0.153648704554515,0.124649156845332
"2017-11-03","110032.SH","三一转债",118.0836,"600031.SH","三一重工",7.86,7.43,4.16438356164384,0.288911316595922,0.262387487684915,90.9365,29.5285712519326,120.465071251933,29.6102186232744,0.690110681695422,9.28816529872708,-0.244715795634756,-7.22610780787428,-6.51887598684211,-0.019768977241147,0.00294044516784147,0.0333781258438482,-0.0217669211291486,-0.0193994786750163,0.0055073564302949,0.00224732628584823,0.00316835119173364,-0.00968024115060052,-0.0279398733550045,-0.032919365968413,-0.026486184615949,-0.00995738177502341,0.0173106221101112,0.040978118997344,0.0762660670148328,0.0790440079490381
"2017-11-03","110033.SH","国贸转债",125.3649,"600755.SH","厦门国贸",10.33,8.81,4.16712328767123,0.443610056074211,0.22944673391184,92.4461,49.5619130995609,142.008013099561,49.6978877000583,0.757277156861839,8.59565444792099,-0.402918037538873,-19.9693887627472,-7.89964628533859,-0.117198408289063,-0.0276404808568563,0.0566260727490488,-0.125776874299213,-0.128184135460633,-0.116538159412252,-0.107712213167208,-0.0166129173952936,0.0208115018085043,0.0012922738508991,0.00724678861662851,0.016617069338039,0.00414979092511962,-0.00157267830718676,-0.0118618275260804,0.00804584178982365,-0.0194377101429325
"2017-11-03","110034.SH","九州转债",120.2289,"600998.SH","九州通",19.91,18.65,4.19452054794521,0.226629780377398,0.274426150930206,91.3321,25.5246660582386,116.856766058239,25.6090575248613,0.69444192857309,3.72354921486911,-0.522163904710213,-13.3280592953941,-6.88917831482691,0.0288569849697948,0.0165384395726488,0.0458221072720322,0.0288377344388944,0.0352057890935688,0.0580601098964204,0.0757099022370979,0.0627685890536501,0.050143257076449,0.0437460965637032,0.0171525458706307,0.00277103336353275,-0.027410293362618,-0.0447458612519487,-0.045192246508212,-0.0343815983526901,-0.065124982068192
"2017-11-03","113008.SH","电气转债",104.9366,"601727.SH","上海电气",8.25,10.46,3.24383561643836,0.269827994584308,0.286103975479492,95.0011,9.74059757231837,104.741697572318,9.77648753585722,0.442246801152405,4.22798089055837,-0.28339949077637,-2.76048039185258,-3.06288640202703,0.00186079118630911,0.092858873457399,0.0806474254000881,-0.013814887188204,-0.00737985846515343,0.0153530979599321,0.0299088503912126,0.0251704768828991,0.0327090848490558,0.0723902572727745,0.212094534929579,0.210663563858528,0.200646833126604,0.153627027705101,0.124717433366423,0.0799843259580134,0.0659925897015151
"2017-11-03","113009.SH","广汽转债",128.9682,"601238.SH","广汽集团",27.22,21.43,4.21369863013699,0.219228843817385,0.19441971561565,90.6361,40.401437871788,131.037537871788,40.3870739311212,0.815115540545631,3.80361894794975,-0.590780741540636,-23.8683914252028,-9.09701983094928,-0.0157919471427546,-0.0373637481663992,0.025874750879961,-0.0191189289211574,-0.022807335263078,-0.00939579985513736,-0.00567066547361566,-0.0154776238725502,-0.0219940816497412,-0.0362311818114201,-0.0628383399584312,-0.0543568941532795,-0.0441549917632159,-0.0360644239854098,-0.063230429047805,-0.0778419229051699,-0.0528775037243949
"2017-11-03","113010.SH","江南转债",104.0836,"601199.SH","江南水务",6.07,9.3,4.36438356164384,0.153537010995932,0.380209134932522,91.784,1.62028429023424,93.4042842902342,1.61823496767623,0.167101836746674,1.79679394351263,-0.0687784363119476,-0.111440619863125,-2.81817576898933,0.114334324072138,0.0551721450791095,0.0417556667684044,0.116034380165407,0.110508978522914,0.11607206384091,0.102900414526994,0.079009880425503,0.0733520752014076,0.0588297111004945,0.0411454751465685,0.0347394778075368,0.0249478082749523,0.00625277692984299,0.00386026055946709,0.00782434457686512,-0.0228940673309804
"2017-11-03","113011.SH","光大转债",108.9629,"601818.SH","光大银行",4.03,4.26,5.36164383561644,0.134987796900584,0.265639055141063,85.2332,12.8047656562643,98.0379656562643,12.8478958019047,0.593290052690294,13.9269965420257,-0.0732579829484382,-0.93805130410536,-4.42582549821155,0.111435751146042,0.0889471518098333,0.0410960479657802,0.113299835953294,0.12253664283514,0.133193599864931,0.132083693349543,0.0910856433972709,0.077866760000896,0.0574273870698441,0.0468292408454965,0.0000364903723176566,0,0,0,0,0
"2017-11-03","113012.SH","骆驼转债",106.5351,"601311.SH","骆驼股份",13.5,16.72,5.38082191780822,0.267656190991636,0.349335685675955,84.8395,15.7996782768618,100.639178276862,15.8226888508255,0.53819709113808,3.21888212403158,-0.378652299873934,-5.98258451680196,-4.03202342158859,0.0585847561962232,0.0569823463716523,0.0562139670030317,0.0586611597210368,0.0520164055498349,0.075619773226018,0.125736381759519,0.0898431987561809,0.062598078293035,0.0423831599645109,-0.0298150915477677,-0.0851227562271822,0,0,0,0,0
